time,ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2024-10-04 11:00:00,1.58,15.18,0.82,2.48,2.33407,0.442293,20.830000000000002,42.89261751636561,6314.753556085374,21.070000000000004,20.2,20.900000000000002,19.5,28.6,-1.0,28.6,0.959445,38.5,94.65000000000002,74.93440500000001,461.00000000000006,107.2,100.90000000000002,404.30000000000007,3400.0,3400.0,8.915294,1.958,942.280579,799.614746,1560.0000000000005,14.490000000000002,1.3000000000000003,1.32,82.31800000000001,0.5720000000000001,0.05,7.280000000000001,671.863586,-6.407907,-1.3552527156068805e-19
2024-10-04 18:00:00,1.68,17.3,1.06,2.57,2.632997,0.39916,23.980000000000004,42.8714913707129,6308.214375967729,20.480000000000004,20.0,20.600000000000005,20.9,24.47,-0.99,24.2253,0.9558,42.20000000000001,99.43,75.58668600000001,519.5,164.50000000000003,108.6,480.8,4200.0,4200.0,8.42,0.949,1018.414368,764.350281,1562.0,14.530000000000001,1.52,1.3200000000000003,82.11600000000001,0.514,0.05,7.3500000000000005,722.156189,-2.665463,1.3234889800848443e-23
2024-10-04 19:00:00,1.68,17.3,1.06,2.57,2.632997,0.39916,24.490000000000002,42.86847682601052,6307.281283339021,20.480000000000004,18.700000000000003,22.0,21.300000000000004,24.81,-0.9900000000000001,24.5619,1.022895,38.3,114.75,86.64772500000001,532.5,182.30000000000004,110.00000000000003,498.0,4400.0,4400.0,8.290909,0.978,1006.373657,770.56073,1562.0,14.530000000000001,1.52,1.3200000000000003,82.116,0.514,0.05,7.350000000000001,690.46167,-2.068912,3.308722450212111e-24
2024-10-04 20:00:00,1.68,17.3,1.06,2.57,2.632997,0.39916,24.490000000000002,42.8654631844139,6306.348470248819,20.480000000000004,18.9,18.100000000000005,18.9,21.99,-0.9900000000000001,21.7701,0.985905,41.900000000000006,116.76000000000002,88.165476,617.4000000000001,201.40000000000003,118.6,515.8,4900.0,4900.0,7.768163000000001,0.985,1005.16156,780.844238,1562.0000000000002,14.530000000000001,1.52,1.3200000000000005,82.11600000000001,0.514,0.05,7.35,685.899475,-2.093319,2.68833699079734e-24
2024-10-04 21:00:00,1.68,17.3,1.06,2.57,2.632997,0.39916,24.49,42.86245045728283,6305.415940213327,21.070000000000004,20.4,20.9,18.9,29.82,-0.99,29.5218,1.01088,42.2,116.08000000000001,87.652008,563.3000000000001,233.90000000000003,113.6,551.3,4900.000000000001,4900.000000000001,8.141633000000002,1.031,1017.603882,816.448547,1562.0,14.530000000000001,1.52,1.3200000000000003,82.116,0.5140000000000001,0.05,7.35,679.067078,-2.767769,-1.2407709188295415e-24
2024-10-04 22:00:00,1.73,16.66,1.13,2.64,2.600519,0.404667,24.49,42.85943865597717,6304.4836967487545,21.070000000000004,20.4,18.9,21.0,29.19,-0.9900000000000001,28.8981,1.019655,40.800000000000004,119.98000000000005,90.59689800000001,564.6,234.80000000000007,114.2,552.2000000000002,4900.000000000001,4900.000000000001,8.16,1.088,999.725037,831.302856,1562.0,14.530000000000001,1.5200000000000002,1.32,82.11600000000001,0.514,0.05,7.3500000000000005,689.225586,-2.149494,1.2924697071141057e-26
2024-10-04 23:00:00,1.73,16.66,1.13,2.64,2.600519,0.404667,24.49,42.85642779185672,6303.55174337131,22.470000000000002,22.900000000000002,23.9,24.0,37.69,-0.9900000000000001,37.3131,1.02222,37.0,121.54000000000002,91.774854,525.2,218.30000000000004,108.4,533.2,4500.0,4500.0,8.554667,0.995,983.757446,829.82019,1565.0,14.560000000000002,1.47,1.4500000000000002,82.012,0.508,0.05,7.280000000000001,704.274109,-4.38421,6.462348535570529e-27
2024-10-05 00:00:00,1.73,16.66,1.13,2.64,2.600519,0.404667,24.49,42.85341787628129,6302.6200835971995,22.47,20.5,18.7,20.2,36.7,-1.0,36.7,1.022625,42.3,120.5,90.98955000000001,518.2,207.8,108.20000000000002,524.0,4600.000000000001,4600.000000000001,8.246086999999998,0.996,946.497864,802.975037,1565.0,14.560000000000002,1.47,1.4500000000000004,82.01200000000001,0.5080000000000001,0.05,7.280000000000001,724.936279,-1.901164,0.0
2024-10-05 01:00:00,1.73,16.66,1.13,2.64,2.600519,0.404667,23.660000000000004,42.85040892061072,6301.688720942632,22.47,20.700000000000003,20.299999999999997,21.000000000000004,40.02,-1.0000000000000002,40.02,1.019925,43.3,120.96000000000001,92.34086400000001,506.5,208.20000000000002,108.30000000000001,526.4,4500.000000000001,4500.000000000001,8.462667,1.07,927.225342,812.906189,1565.0000000000002,14.560000000000002,1.4700000000000002,1.4500000000000002,82.012,0.508,0.05,7.28,719.473694,-2.733895,-4.0389678347315804e-27
2024-10-05 02:00:00,1.72,16.19,0.99,2.45,2.485384,0.41968,23.660000000000004,42.84740093620483,6300.757658923816,22.47,23.500000000000004,23.700000000000003,23.400000000000002,38.41,-0.99,38.0259,1.018575,41.599999999999994,120.45000000000002,91.95153,563.9,211.50000000000003,113.70000000000002,530.9,4500.000000000001,4500.000000000001,8.594667,1.15,928.843384,825.093628,1565.0,14.56,1.4700000000000002,1.4500000000000002,82.012,0.508,0.05,7.28,703.033875,-2.408256,-6.058451752097371e-28
